Id;Nivel;Ens;Grup;Tut;aval;nasig;nsusp;Q50;IQR;med;std;S
274;2;ESO;B;122;3;12;6;4.5;3.55;3.75;2.0056737702645644;1.4241299173467734
340;3;ESO;A;131;1;13;1;6.0;2.3000000000000007;6.230769230769231;1.4232501627054273;1.5857708352080968
340;3;ESO;A;131;2;13;0;6.0;1.3000000000000007;6.6923076923076925;1.3774744634423888;1.4791328074296435
340;3;ESO;A;131;3;13;0;6.0;1.3000000000000007;6.538461538461538;1.198289379030556;1.4180693652516905
280;2;ESO;B;122;1;12;5;5.0;2.55;4.833333333333333;1.6422453217986943;1.7481554572476758
280;2;ESO;B;122;2;12;6;4.5;2.0;4.75;1.5447859516333116;1.6762349391347309
280;2;ESO;B;122;3;12;3;5.5;1.5499999999999998;5.25;1.4222261679238197;1.5171063970610277
437;4;ESO;B;142;1;12;0;9.0;1.0;9.25;0.8660254037844386;0.9184277849930976
437;4;ESO;B;142;2;12;0;9.0;1.0;9.333333333333334;0.49236596391733095;0.6365141682948128
437;4;ESO;B;142;3;12;0;10.0;1.0;9.666666666666666;0.49236596391733095;0.6365141682948128
188;1;ESO;A;111;1;11;0;7.0;2.0;7.0;1.2649110640673518;1.3896811919839047
188;1;ESO;A;111;2;11;0;7.0;1.7999999999999998;7.2727272727272725;1.2720777563426766;1.5465986860485124
188;1;ESO;A;111;3;11;0;8.0;1.0;7.636363636363637;1.026910636104941;1.2882523050229002
338;3;ESO;D;134;1;9;4;6.0;2.3;5.333333333333333;1.6583123951777;1.464816384890813
338;3;ESO;D;134;2;14;2;5.0;0.05000000000000071;5.142857142857143;1.0994504121565505;1.1275347898191255
338;3;ESO;D;134;3;14;1;5.0;1.0500000000000007;5.5;1.0919284281983377;1.1275347898191255
181;1;ESO;A;111;1;11;0;7.0;1.0;7.636363636363637;0.8090398349558904;0.9949236325717751
181;1;ESO;A;111;2;11;0;8.0;1.7999999999999998;8.0;1.1832159566199232;1.2406842919533958
181;1;ESO;A;111;3;11;0;8.0;1.7999999999999998;8.090909090909092;1.1361818036340359;1.4681399390162087
312;3;ESO;A;131;1;13;3;5.0;1.9000000000000004;5.076923076923077;1.4411533842457842;1.2309316230479224
312;3;ESO;A;131;2;13;1;5.0;2.0;5.6923076923076925;1.3155870289605436;1.377819508039033
312;3;ESO;A;131;3;13;2;5.0;1.3000000000000007;5.538461538461538;1.3301243435223526;1.5857708352080968
468;4;ESO;C;143;1;12;0;6.5;1.0;6.666666666666667;0.7784989441615229;1.0114042647073518
468;4;ESO;C;143;2;12;1;5.0;2.0;6.0;1.651445647689541;1.3579778549873245
468;4;ESO;C;143;3;12;0;6.0;1.5500000000000007;6.666666666666667;1.1547005383792515;1.3579778549873245
268;2;ESO;A;121;1;12;0;7.5;2.0;7.833333333333333;1.1934162828797101;1.4241299173467734
268;2;ESO;A;121;2;12;0;8.0;1.0;7.833333333333333;0.7177405625652734;1.0114042647073516
